taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK
20SGH000839	10	1.53333333	100	114	69
20SGH002611	13.9	1.6	100	118	61
20SGH002662	31.1	1.26666667	80	129	69
20SGH000706	8.5	0.73333333	66.6666667	127	69
20SGH000088	60	1.86666667	100	145	69
20SGH003817	NA	NA	NA	NA	NA
20SGH003738	22.8	1	86.6666667	121	69
20SGH003350	75.4	NA	NA	128	69
20SGH000351	3.9	2.53333333	100	104	69
20SGH002930	27.4	1.30769231	92.3076923	113	69
20SGH000828	76.1	2.41666667	100	98	69
20SGH001502	4.4	1	85.7142857	99	69
20SGH003231	22.2	NA	NA	61	61
20SGH000139	4.6	1.53333333	100	159	65
20SGH003158	13.8	1.33333333	86.6666667	129	69
20SGH000468	8	1.4	93.3333333	124	69
20SGH000663	2.8	0.8	73.3333333	99	69
20SGH002280	18.3	1.26666667	86.6666667	124	69
20SGH003014	NA	NA	NA	NA	69
20SGH000092	4.9	1.13333333	80	110	69
20SGH003396	23.4	1.2	86.6666667	96	69
20SGH000399	20.2	1.8	100	119	65
20SGH003473	16.4	1	72.7272727	106	69
20SGH000335	21.5	1	86.6666667	109	65
20SGH003053	13.5	NA	NA	101	65
20SGH000366	2.7	1.46666667	66.6666667	110	65
20SGH000170	7.2	2.53333333	100	147	69
20SGH002331	6.3	0.8	66.6666667	131	69
20SGH000067	1.6	0.93333333	80	129	69
20SGH001695	31.8	1.53333333	93.3333333	118	65
20SGH003304	2.4	NA	NA	78	69
20SGH000312	4.8	NA	NA	85	69
20SGH003118	NA	NA	NA	NA	NA
20SGH000158	57.7	1.2	80	120	69
20SGH001798	58.3	NA	NA	115	69
20SGH003515	41.9	NA	NA	97	69
20SGH000552	12.8	NA	NA	75	61
20SGH000554	3	1.26666667	80	108	65
20SGH000207	4.1	2.4	100	115	69
20SGH000131	4.6	2.33333333	100	90	69
20SGH002197	6.7	1.7	100	104	65
20SGH003465	NA	NA	NA	93	65
20SGH000651	22	0.92307692	76.9230769	96	69
20SGH003587	NA	NA	NA	NA	NA
20SGH002251	6.2	0.86666667	73.3333333	115	69
20SGH001299	3.3	0.73333333	60	99	69
20SGH002861	2	1.53333333	86.6666667	117	69
20SGH003563	NA	NA	NA	NA	NA
20SGH003051	62.6	1.8	80	124	69
20SGH000472	35.2	0.76923077	69.2307692	121	69
20SGH001741	58.7	2.06666667	100	82	65
20SGH000413	5.5	3.35714286	100	96	69
20SGH001538	29	2.15384615	100	102	69
20SGH000066	21.6	2.53333333	100	101	69
20SGH000225	23.5	1.13333333	80	98	69
20SGH002061	17.4	2.2	100	108	65
20SGH000227	NA	2.33333333	100	116	69
20SGH000254	11.3	1.4	86.6666667	110	69
20SGH000271	4.1	1.66666667	100	103	69
20SGH002801	19.7	1.27272727	90.9090909	95	65
20SGH002187	16.2	1.13333333	80	107	69
20SGH002098	NA	1.2	73.3333333	115	69
20SGH002910	6.5	2	100	99	69
20SGH000835	79	2.2	100	91	69
20SGH002954	36.8	1.2	86.6666667	117	65
