taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	GLBLSEV	BLSSEV	HSATIVLSEV
20SGH001898	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003717	1.2	2.35	95	119	69	5	20	10
20SGH001352	24	2.1875	93.75	120	65	0	40	30
20SGH003180	4	2.75	83.3333333	119	69	0	10	0
20SGH001467	5.9	2.25	95	107	61	5	20	0
20SGH002584	3.5	2.15789474	89.4736842	96	69	0	0	60
20SGH000321	1.8	2.58823529	94.1176471	88	59	0	5	10
20SGH003318	2	2.35714286	85.7142857	100	61	0	20	40
20SGH001053	0.4	2.84615385	100	106	69	2	20	5
20SGH000448	0.1	2.38888889	100	124	69	0	5	30
20SGH002465	3.2	1.25	65	99	69	0	20	0
20SGH001749	2.1	1.3	90	110	59	2	20	0
20SGH001532	3.9	1.05	70	122	59	0	20	30
20SGH002132	3.7	0.25	25	83	57	0	10	10
20SGH003353	7.1	0.88888889	72.2222222	119	69	10	5	10
20SGH003312	0.8	1.8	73.3333333	111	69	0	20	40
20SGH001152	0.6	3.26666667	100	107	69	0	60	0
20SGH003092	0.8	2	85	120	69	0	30	10
20SGH002235	1.3	1.29411765	82.3529412	124	69	0	20	10
20SGH000591	0.6	2.125	93.75	119	69	2	2	20
20SGH001669	2.9	1.5	77.7777778	104	59	0	30	10
20SGH000995	3.6	2.10526316	94.7368421	101	69	0	5	5
20SGH000358	1.7	1.55555556	88.8888889	79	59	0	20	20
20SGH001088	1.8	1.70588235	82.3529412	94	59	0	30	0
20SGH003455	2	NA	NA	91	59	0	20	20
20SGH001155	1.1	2.22222222	83.3333333	109	69	0	20	5
20SGH003834	0.3	2.25	95	120	59	0	30	0
20SGH000020	0.2	2.46153846	100	89	69	0	10	0
20SGH002350	6.8	1.8	85	117	59	0	10	30
20SGH003830	1.2	2.55	95	128	59	0	10	5
20SGH003261	0.5	1.55	80	100	59	0	10	40
20SGH002302	0.3	2.65	95	133	69	0	10	10
20SGH001136	0.3	2.3	90	107	69	2	40	NA
20SGH000119	3.8	2.8	95	100	65	0	5	60
20SGH002388	1.1	2.75	100	99	65	0	5	5
20SGH002450	3.3	2.63157895	100	110	61	0	5	20
20SGH002400	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002653	0.7	0.6875	50	81	57	0	5	0
20SGH001085	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003507	8.5	1.7	85	104	59	0	20	0
20SGH003611	2.9	2.76470588	94.1176471	122	69	0	20	20
20SGH002621	1.7	2.1	90	131	65	0	20	0
20SGH002486	0.4	2.15384615	92.3076923	90	53	0	2	5
20SGH000585	0.4	0.90909091	81.8181818	87	53	0	5	0
20SGH001234	1.9	2.35	75	108	59	2	5	30
20SGH000275	12.5	2.93333333	93.3333333	109	59	0	0	0
20SGH003542	1.8	1.9	85	131	59	0	20	20
