phenotype_year	plant_id	Cycle	Site	Time	serpentine	FHBDON	FHBZEA
2022	20SGH001352	C10	SAL	5	221	0.2	0.1
2022	20SGH003180	C10	SAL	5	222	0.1	0.4
2022	20SGH001467	C10	SAL	5	223	0.3	0.1
2022	20SGH002584	C10	SAL	5	224	0	0
2022	20SGH000321	C10	SAL	5	225	0	0
2022	20SGH003318	C10	SAL	5	226	0	0
2022	20SGH001053	C10	SAL	5	227	0	0
2022	20SGH000448	C10	SAL	5	229	0	0
2022	20SGH002465	C10	SAL	5	230	0	0
2022	20SGH001749	C10	SAL	5	231	0	0.1
2022	20SGH001532	C10	SAL	5	232	0.1	0.1
2022	20SGH003353	C10	SAL	5	234	0	0
2022	20SGH00378	C10	SAL	5	235	0	0
2022	20SGH003312	C10	SAL	5	236	0	0
2022	20SGH001152	C10	SAL	5	237	0	0
2022	20SGH003092	C10	SAL	5	238	0	0
2022	20SGH002235	C10	SAL	5	239	0	0.1
2022	20SGH000591	C10	SAL	5	240	0.1	0.2
2022	20SGH001669	C10	SAL	5	241	0	0
2022	20SGH000995	C10	SAL	5	242	0	0.3
2022	19SGH000369	C10	SAL	5	243	0	0
2022	20SGH001088	C10	SAL	5	246	0.1	0.1
2022	20SGH003455	C10	SAL	5	247	0	0
2022	20SGH001155	C10	SAL	5	248	0.2	0.1
2022	20SGH003834	C10	SAL	5	249	0	0
2022	20SGH000020	C10	SAL	5	250	0.2	0
2022	20SGH002350	C10	SAL	5	253	0.1	0
2022	20SGH003830	C10	SAL	5	254	0	0
2022	20SGH003261	C10	SAL	5	255	0.1	0
2022	20SGH002302	C10	SAL	5	256	0	0.1
2022	20SGH001136	C10	SAL	5	257	0	0
2022	20SGH000119	C10	SAL	5	258	0	0
2022	20SGH002388	C10	SAL	5	259	0.1	0.1
2022	20SGH002450	C10	SAL	5	260	1.1	0.1
2022	20SGH002653	C10	SAL	5	263	0.1	0.5
2022	20SGH003507	C10	SAL	5	265	0.1	0
2022	20SGH003611	C10	SAL	5	266	0	0
2022	20SGH002621	C10	SAL	5	268	0	0
2022	20SGH000585	C10	SAL	5	270	0	0
2022	20SGH001234	C10	SAL	5	271	0	0
2022	20SGH000275	C10	SAL	5	272	0	0
2022	20SGH003542	C10	SAL	5	273	0.1	0.1
2022	20SGH000277	C10	SAL	5	274	0.2	0.1
2022	20SGH002750	C10	SAL	5	275	0	0
2022	20SGH003097	C10	SAL	5	276	0.1	0.1
2022	20SGH000619	C10	SAL	5	279	0	0
2022	19SGH000369	C10	SAL	5	280	1	0.2
2022	20SGH003715	C10	SAL	5	281	0	0
2022	20SGH000179	C10	SAL	5	282	0	0
2022	20SGH000959	C10	SAL	5	285	0	0
2022	20SGH003650	C10	SAL	5	286	0.5	0
2022	20SGH002091	C10	SAL	5	287	0	0
2022	20SGH002934	C10	SAL	5	288	0	0
2022	20SGH003301	C10	SAL	5	289	0.4	0
2022	20SGH001984	C10	SAL	5	290	0.4	0
2022	20SGH001075	C10	SAL	5	291	0	0
2022	20SGH002077	C10	SAL	5	292	0	0
2022	20SGH000511	C10	SAL	5	293	0	0
2022	20SGH003146	C10	SAL	5	294	0	0
2022	20SGH002252	C10	SAL	5	295	0	0
2022	20SGH003039	C10	SAL	5	296	0	0.3
2022	20SGH000445	C10	SAL	5	297	0	0
2022	20SGH000813	C10	SAL	5	298	0.1	0
2022	20SGH002311	C10	SAL	5	299	0.4	0
2022	20SGH002529	C10	SAL	5	300	0.2	0.1
2022	20SGH002996	C10	SAL	5	301	0	0.1
