"","EntityID","CPGID","PlantID","source_id","germplasm_id","experiment_id","PlotID","Selection","Entry","planting_date","StartingCorner","Row","Range","easting","northing","altitude","rep","block","notes","DON","ZEA"
"65","20FHB000065",2065,"1745","20SGH001745","C10_001745","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_65_CPG2065_1745","experimental","C10","2020-10-16","SW",3,3,0,0,0,0,0,NA,0,0
"66","20FHB000066",2066,"1494","20SGH001494","C10_001494","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_66_CPG2066_1494","experimental","C10","2020-10-16","SW",3,4,0,0,0,0,0,NA,NA,NA
"67","20FHB000067",2067,"1645","20SGH001645","C10_001645","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_67_CPG2067_1645","experimental","C10","2020-10-16","SW",3,5,0,0,0,0,0,NA,0,0
"68","20FHB000068",2068,"3856","20SGH003856","C10_003856","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_68_CPG2068_3856","experimental","C10","2020-10-16","SW",3,6,0,0,0,0,0,NA,0.4,0
"69","20FHB000069",2069,"1256","20SGH001256","C10_001256","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_69_CPG2069_1256","experimental","C10","2020-10-16","SW",3,7,0,0,0,0,0,NA,NA,NA
"70","20FHB000070",2070,"3541","20SGH003541","C10_003541","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_70_CPG2070_3541","experimental","C10","2020-10-16","SW",3,8,0,0,0,0,0,NA,0,0
"71","20FHB000071",2071,"Bacup",NA,"Bacup","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_71_CPG2071_Bacup","resistant check","spring wheat","2020-10-16","SW",3,9,0,0,0,0,0,"sw_check",NA,NA
"72","20FHB000072",2072,"3130","20SGH003130","C10_003130","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_72_CPG2072_3130","experimental","C10","2020-10-16","SW",3,10,0,0,0,0,0,NA,0.1,0
"73","20FHB000073",2073,"3913","20SGH003913","C10_003913","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_73_CPG2073_3913","experimental","C10","2020-10-16","SW",3,11,0,0,0,0,0,NA,0,0
"74","20FHB000074",2074,"1446","20SGH001446","C10_001446","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_74_CPG2074_1446","experimental","C10","2020-10-16","SW",3,12,0,0,0,0,0,NA,0,0
"75","20FHB000075",2075,"C9-1829","19SGH001829","C9_001829","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_75_CPG2075_C9-1829","top33 S FHB","C9 replicate","2020-10-16","SW",3,13,0,0,0,0,0,"C9 replicate",0,0.1
"76","20FHB000076",2076,"2358","20SGH002358","C10_002358","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_76_CPG2076_2358","experimental","C10","2020-10-16","SW",3,14,0,0,0,0,0,NA,0.3,0.1
